base_learner,spearman_rho,weight
CDR_and_prot_t5_model__ElasticNet,0.36778750791211695,0.06399535134356296
CDR_and_ankh_model__Lasso,0.3603797000367297,0.06270638622791173
CDR_and_esmc_model__Ridge,0.3469525537933924,0.060370050917716536
CDR_and_prot_t5_model__Ridge,0.3429093341039604,0.059666527119278445
CDR_and_ankh_model__ElasticNet,0.33760203138085004,0.058743051756071564
CDR_and_prot_t5_model__Lasso,0.3335930948891325,0.05804549326432748
CDR_and_esmc_model__ElasticNet,0.3255615965322468,0.05664800545381988
CDR_and_protbert_model__Ridge,0.3182939981449483,0.05538343691298131
CDR_and_ankh_model__Ridge,0.30184465616462497,0.05252123687422211
CDR_and_protbert_model__ElasticNet,0.29223481212834473,0.050849115520917344
CDR_and_prost_t5_model__ElasticNet,0.27726360340332745,0.048244111974618996
CDR_and_ankh_model__SVR_rbf,0.2715290792933133,0.04724629971260987
CDR_and_esmc_model__Lasso,0.2696575683206422,0.04692065514974984
CDR_and_prost_t5_model__Ridge,0.26580686197222236,0.04625062884274732
CDR_and_prot_t5_model__SVR_rbf,0.26526843995683436,0.04615694293633503
CDR_and_esmc_model__SVR_rbf,0.257101566921794,0.04473589981221521
CDR_and_protbert_model__Lasso,0.2564444722989327,0.044621564767246734
CDR_and_protbert_model__SVR_rbf,0.22770504346613638,0.03962087875697691
CDR_and_prost_t5_model__Lasso,0.1828538302920519,0.03181672803539659
CDR_and_prost_t5_model__SVR_rbf,0.14630750200021753,0.025457634621294033
