feature_set_description,model_type,LLM_name,r_Squared,RMSE,Spearman_rho
CDR and ankh_model,ElasticNet,ankh_model,0.11325676408045182,115.37302792656406,0.40253915420276426
CDR and ankh_model,PLS,ankh_model,-0.017162348756669,123.56642629963798,0.3666780582176363
CDR and ankh_model,SVR_rbf,ankh_model,-0.028191763564740402,124.23455502736077,-0.061151102136473456
CDR and ankh_model,Ridge,ankh_model,-0.0380229121833906,124.8270819936814,0.40196161430664396
CDR and ankh_model,Lasso,ankh_model,-0.10012609978737719,128.50694008276076,0.39927741632673003
CDR and esmc_model,ElasticNet,esmc_model,0.06676216342585939,118.35906279724497,0.3571556823809186
CDR and esmc_model,SVR_rbf,esmc_model,-0.02689757932601644,124.15634343553467,-0.046623380533379506
CDR and esmc_model,PLS,esmc_model,-0.045890964538810586,125.29927383874846,0.3369655205329858
CDR and esmc_model,Lasso,esmc_model,-0.04605235685515052,125.30894098410815,0.37687598871214467
CDR and esmc_model,Ridge,esmc_model,-0.27765298492342994,138.48789225245395,0.28753795085406003
CDR and prost_t5_model,ElasticNet,prost_t5_model,0.011206678715222518,121.8310846453395,0.3347837031476423
CDR and prost_t5_model,Lasso,prost_t5_model,-0.019752734066080135,123.72366822209482,0.3691143623608593
CDR and prost_t5_model,SVR_rbf,prost_t5_model,-0.03129890763030696,124.42212872938146,-0.07666424569322172
CDR and prost_t5_model,PLS,prost_t5_model,-0.11586190160225973,129.42273507221464,0.32364694067587896
CDR and prost_t5_model,Ridge,prost_t5_model,-0.1834345681347025,133.28383305869477,0.30926382381085465
CDR and prot_t5_model,ElasticNet,prot_t5_model,0.12821250071958146,114.3959547189678,0.42339168486611056
CDR and prot_t5_model,Lasso,prot_t5_model,0.05755952798236752,118.94119911910695,0.4626828579816214
CDR and prot_t5_model,PLS,prot_t5_model,-0.022304614608335438,123.87837766015319,0.3823111929400169
CDR and prot_t5_model,SVR_rbf,prot_t5_model,-0.02741240996447525,124.187462157311,-0.03628392199735609
CDR and prot_t5_model,Ridge,prot_t5_model,-0.0923292729292613,128.05075240916455,0.35847954095558715
CDR and protbert_model,ElasticNet,protbert_model,0.0687003015916875,118.23609551408825,0.41060229681640775
CDR and protbert_model,PLS,protbert_model,0.036837432555966276,120.24171069225794,0.4270969065740972
CDR and protbert_model,SVR_rbf,protbert_model,-0.028048904185366652,124.22592400706405,-0.02802650797268887
CDR and protbert_model,Lasso,protbert_model,-0.03996951596563458,124.94407125015798,0.40906131137059504
CDR and protbert_model,Ridge,protbert_model,-0.23158278285495482,135.9681388786773,0.32892743101985894
ankh_model,ElasticNet,ankh_model,0.07783652906795868,117.65470680437927,0.408761643047232
ankh_model,Ridge,ankh_model,-0.012520108107675565,123.2841306172944,0.4176172567337932
ankh_model,SVR_rbf,ankh_model,-0.02770050412347591,124.20487248562246,-0.056915382544182394
ankh_model,PLS,ankh_model,-0.08208708983813828,127.44900706810128,0.3712971403960951
ankh_model,Lasso,ankh_model,-0.11219341524941218,129.20981607058005,0.41341097209112937
esmc_model,ElasticNet,esmc_model,0.002994654296538779,122.33594806396009,0.35447771569172554
esmc_model,SVR_rbf,esmc_model,-0.026633166525569685,124.14035808284518,-0.03979224387031638
esmc_model,PLS,esmc_model,-0.1675091262802948,132.38399736002512,0.3198046564852655
esmc_model,Lasso,esmc_model,-0.21520604207337501,135.06110812300332,0.3177019536921094
esmc_model,Ridge,esmc_model,-0.33709346953159725,141.67272008953148,0.2882030201714842
prost_t5_model,SVR_rbf,prost_t5_model,-0.03137993287183227,124.42701632062759,-0.07484066013893256
prost_t5_model,ElasticNet,prost_t5_model,-0.058848536770848,126.07305271722339,0.3293991170353918
prost_t5_model,PLS,prost_t5_model,-0.20892353490514437,134.71152875500658,0.3188359363857429
prost_t5_model,Lasso,prost_t5_model,-0.22291317966606816,135.48872667276777,0.3634040934145949
prost_t5_model,Ridge,prost_t5_model,-0.2872273845205957,139.00581990572482,0.295312388415485
prot_t5_model,ElasticNet,prot_t5_model,0.06819102484647077,118.26841951472278,0.42460795237032073
prot_t5_model,SVR_rbf,prot_t5_model,-0.027214463898765473,124.17549831325915,-0.03458647215582207
prot_t5_model,Lasso,prot_t5_model,-0.030798075204073516,124.39191333620556,0.4494957957983455
prot_t5_model,PLS,prot_t5_model,-0.12514228080914047,129.959810979143,0.3830026547747182
prot_t5_model,Ridge,prot_t5_model,-0.17713981440373128,132.92888840770573,0.37951104294594895
protbert_model,ElasticNet,protbert_model,-0.0024768351603086103,122.67117395579321,0.40092353708771006
protbert_model,SVR_rbf,protbert_model,-0.02786865012502071,124.21503288664229,-0.024999044056508987
protbert_model,PLS,protbert_model,-0.0588519772271372,126.07325753805458,0.40104308875153505
protbert_model,Lasso,protbert_model,-0.29091744466485747,139.20491944333244,0.3900403799260592
protbert_model,Ridge,protbert_model,-0.36823387814077724,143.31297723903788,0.327552219640567
